source_id,ra,dec,astrometric_excess_noise
2545618870003233024,4.004987330341276,0.7591863925584892,4.256493
2545622035394653696,3.758307727869074,0.7789362498449349,21.324545
2545626394784870784,4.242726195670423,0.7257958900115092,9.245676
2545629697616737664,4.196006822794602,0.7606091746101958,17.766708
2545635637554706944,4.505001576098299,0.8470964383129054,2.5404778
2545639009104537088,4.268108985603064,0.8965992218286529,5.666629
2545644261850782336,4.050713711798741,0.8872069690450533,4.7058563
2545649484529641472,4.107644756517177,0.9771674504195842,1.6801604
2545652649921962624,4.224011725497626,0.9994186871014147,29.641243
2545653092301804288,4.302569752410324,0.9791251590820592,3.3739452
2545653779496417920,4.3696693282696035,1.033403902216165,23.689737
2545656493916179968,4.0952192884431,1.0358929544831337,13.725906
2545657322846452480,4.109396726452384,1.0993761341684223,14.903721
2545705181666932224,1.8893116646405363,-0.6546607384841919,1.8847442
2545805237223672320,2.0284640241844234,-0.47235105710298797,4.054774
2545806542892983040,2.007709907431393,-0.43519957336891063,1.3959037
2545810906579778176,2.2991203885216187,-0.34995228220892755,15.115528
2545820428522301184,2.035495507949905,-0.3405446947886874,2.614415
2545829632637261184,2.2205173888435437,-0.16796156423616648,2.2892265
2545835168850096256,2.108907115703743,-0.04048227850895933,1.3846695
2545842899791468416,2.525941316680239,-0.09105072082205838,1.1014717
2545844682203816832,2.619173023031998,-0.12571716422959062,6.4372387
2545853306498026240,2.2886125754650046,-0.11688653540395674,5.5204325
2545853856253843456,2.326402761141523,-0.08788962025308444,2.9161766
2545856334449495168,2.3966593400139837,0.00920828619199002,6.4179235
2545858426098108672,2.224595702325144,-0.0068811406012631434,1.3882117
2545864988808402432,2.6223338949006583,0.15955610675310344,1.0659094
2545866638075820288,2.3901378806784663,0.11751305945062544,18.29627
2545873922340033792,1.8629633432655108,-0.138527331792001,29.53294
2545879729135998848,1.9529068264087217,-0.1278335188263761,1.4228574
2545882997606755200,1.9844303483254049,-0.009808810860780852,32.014362
2545908247720640384,2.188267434988984,0.09211035313334899,2.6580825
2545918005884767104,2.4079721741933313,0.3110366404828212,1.0491773
2545922266492430592,2.2946484412089316,0.37343692815376833,2.9085138
2545922438292068224,2.327071304922759,0.4043801200197454,4.000424
2545926595819353088,2.0429631447753027,0.29446207825296594,2.3276267
2545941061269254784,2.126183946593911,0.5770090046424653,4.162523
2546129047693757696,2.0606814976287553,0.609691316914064,7.3196664
2546129666168831616,1.9630464755091472,0.6156977541479925,2.5780647
2546130245988306176,2.0262235040728545,0.6630157317205332,23.807573
2546131311140177280,1.8790945031163213,0.6124941576273708,1.7249844
2546132552386225280,1.9247581192252787,0.6191307358493452,2.6356528
2546146601224005376,1.8587847012994143,0.7536563788267995,1.5528915
2546224151153924736,2.7721039590605097,0.07861029177208456,6.0462484
2546231920749109632,2.978236287366582,0.20618920477810343,18.29247
2546232264347605760,3.010467752857077,0.21701377179925632,20.584942
2546237040351007616,2.8567312805373803,0.2956503468440989,1.2851582
2546241988153345408,2.6304391246262653,0.25078693241859085,3.7458057
2546242224376374656,2.597646022787397,0.2575166993391987,2.0304859
2546245011810397184,2.5311442488622706,0.2693242639696284,26.514349
2546255246717055616,2.7549711243713055,0.4883667918236898,1.8068625
2546255762114604032,2.8281291523532777,0.4783230918361399,4.517786
2546262122960066944,3.262517174471194,0.5059032471832814,1.8420725
2546267002042937344,3.3217005647726605,0.4895324737476709,5.172207
2546281811090089600,2.8682946238685854,0.6353451619782159,1.3484194
2546282120327801728,2.9824051052924583,0.6226138801861022,1.6553495
2546285040905750144,3.190390417881,0.6659973264938049,42.364067
2546285350143183872,3.1243511906586456,0.6531821992980978,19.657745
2546285517646131200,3.135863215735397,0.676339039413222,2.7019901
2546286861971885184,3.2665977211484805,0.728482837841083,16.545103
2546287510510842240,3.2046139085903125,0.7154043432189454,42.88639
2546293317306439040,2.4550537745483423,0.3377520219245888,1.1539454
2546293630839065344,2.4902712633171626,0.35265384858884746,1.2809634
2546296822001805312,2.5013161714416574,0.47429026456778806,3.5142555
2546299197117802880,2.3867941952848106,0.4751505340285392,52.492596
2546299433340659072,2.346953114093798,0.49406026369093736,2.0043468
2546301907241820672,2.6466083690421627,0.4758292630269643,2.2394173
2546302147759781504,2.6047349119068497,0.4898962686699018,1.8208412
2546303075476593920,2.6245424718463437,0.523900851262627,1.0793298
2546303148487579776,2.610771346972485,0.5313564866447238,1.7103899
2546304312424857600,2.7171608897047688,0.5597806259278237,27.879818
2546304656020859904,2.7659256009180453,0.586280729747648,1.0877366
2546307920195862912,2.5461649688269787,0.6135403293916931,1.151897
2546308401233682688,2.6337244340724655,0.6098982550614952,2.5610754
2546311631047585536,2.3155361074194527,0.5382427398790127,1.0143974
2546325516677519232,2.3671080705544654,0.763346106512686,4.6624064
2546328574694007424,2.787483585893735,0.6462425022379719,5.0245175
2546330700701969408,2.885059343960859,0.708776873000898,1.17205
2546330979875731968,2.9514847922521357,0.7269347261115567,1.3022243
2546331186034375040,2.972267957101004,0.7562048207566227,29.115828
2546333105884128128,2.725156653340793,0.7411141355148032,2.3083982
2546333758719153792,2.6620688762059337,0.7290428630337126,1.2026438
2546334308474976000,2.7143296296902006,0.7611735722195623,1.0676626
2546342692250799872,2.8704853933233663,0.8960039123504199,3.8330395
2546344822554729472,2.9756873314950725,0.9612473314232325,1.6830333
2546351733157772800,2.512968398735229,0.9187928840375095,3.1199439
2546352008035667072,2.5818791035151705,0.9417792151420759,42.69025
2546359150565864960,2.7658237344225176,1.0089294455479723,3.292846
2546360250077496448,2.7190119255619627,1.0458941418354284,1.7633711
